trn02.wisedb.local;600;2021-09-07 09:30:11;0.08;0.00;0.06;0.01;0.00;99.84
trn02.wisedb.local;600;2021-09-07 09:40:11;0.09;0.00;0.06;0.01;0.00;99.84
trn02.wisedb.local;600;2021-09-07 09:50:11;0.09;0.00;0.06;0.01;0.00;99.83
trn02.wisedb.local;600;2021-09-07 10:00:11;0.09;0.00;0.06;0.01;0.00;99.84
trn02.wisedb.local;600;2021-09-07 10:10:11;0.10;0.00;0.07;0.02;0.00;99.81
trn02.wisedb.local;600;2021-09-07 10:20:11;0.09;0.00;0.07;0.02;0.00;99.82
trn02.wisedb.local;600;2021-09-07 10:30:11;0.09;0.00;0.07;0.01;0.00;99.83
trn02.wisedb.local;600;2021-09-07 10:40:11;0.10;0.23;0.10;0.05;0.00;99.53
trn02.wisedb.local;600;2021-09-07 10:50:11;0.09;0.00;0.06;0.01;0.00;99.84
trn02.wisedb.local;600;2021-09-07 11:00:11;0.09;0.00;0.07;0.01;0.00;99.83
trn02.wisedb.local;600;2021-09-07 11:10:11;0.10;0.00;0.06;0.01;0.00;99.82
trn02.wisedb.local;600;2021-09-07 11:20:11;0.09;0.00;0.07;0.01;0.00;99.83
trn02.wisedb.local;600;2021-09-07 11:30:11;0.09;0.00;0.07;0.01;0.00;99.83
trn02.wisedb.local;600;2021-09-07 11:40:11;0.09;0.00;0.06;0.02;0.00;99.82
trn02.wisedb.local;600;2021-09-07 11:50:11;0.09;0.00;0.07;0.02;0.00;99.82
trn02.wisedb.local;600;2021-09-07 12:00:11;0.09;0.00;0.07;0.02;0.00;99.82
trn02.wisedb.local;600;2021-09-07 12:10:11;0.09;0.00;0.07;0.03;0.00;99.81
trn02.wisedb.local;600;2021-09-07 12:20:11;0.09;0.00;0.07;0.02;0.00;99.83
trn02.wisedb.local;600;2021-09-07 12:30:11;0.09;0.00;0.07;0.02;0.00;99.82
trn02.wisedb.local;600;2021-09-07 12:40:11;0.09;0.02;0.07;0.03;0.00;99.79
